"","Character","Occupation","Category"
"940","Helen Thomas","American author and news service reporter, member of the White House press corps and opinion columnist","News Entertainer"
"941","Helena Bonham Carter","English actress","Acting Entertainer"
"942","Henry Hyde","Republican member of the United States House of Representatives from 1975 to 2007, representing the 6th District of Illinois","U.S. Politician"
"943","Henry Kissinger","American diplomat and political scientist","U.S. Politician"
"944","Henry Winkler","American actor, director, comedian, producer, and author","Acting Entertainer"
"945","Herbert Sandler","Former Co-CEO of Golden West Financial Corporation and World Savings Bank","Business Leader"
"946","Herman Cain","American author, business executive, radio host, syndicated columnist, and Tea Party activist from Georgia","News Entertainer"
"947","Hermann Goering","German politician, military leader, and leading member of the Nazi Party (NSDAP)","Non-U.S. Politician"
"948","Herschel Walker","former professional American football player, bobsledder, sprinter and mixed martial artist","Athlete"
"949","Hervé Villechaize","French actor and painter of English and Filipino descent","Acting Entertainer"
"950","Hilary Duff","American actress and singer","Musical / Acting Entertainer"
"951","Hilary Swank","American actress and producer","Acting Entertainer"
"952","Hillary Clinton","American politician who was the 67th United States Secretary of State, U.S. Senator from New York, First Lady of the United States, and the Democratic Party's nominee for President of the United States in the 2016 election","U.S. Politician"
"953","Hiroshi Fujisaki","Superior Court Judge, best known for overseeing the O.J. Simpson murder case","Law Professional"
"954","Hoda Kotb","American television news anchor and TV host known as the co-host of NBC's Today Show's fourth hour with Kathie Lee Gifford","News Entertainer"
"955","Hodding Carter","Southern U.S. progressive journalist and author","News Entertainer"
"956","Hosni Mubarak","former Egyptian military and political leader who served as the fourth President of Egypt from 1981 to 2011","Non-U.S. Politician"
"957","Howard Baker","American politician and diplomat who served as a Republican U.S. Senator from Tennessee and Senate Majority Leader","U.S. Politician"
"958","Howard Cosell","American sports journalist who was widely known for his blustery, cocksure personality","News Entertainer"
"959","Howard Dean","American politician who served as the 79th Governor of Vermont from 1991 to 2003 and Chair of the Democratic National Committee (DNC) from 2005 to 2009","U.S. Politician"
"960","Howard Hughes","American businessman, investor, and philanthropist known during his lifetime as one of the most financially successful individuals in the world","Business Leader"
"961","Howard K. Stern","American attorney based in Santa Monica, California","Law Professional"
"962","Howard Stern","American radio and television personality, producer, author, actor, and photographer","News Entertainer"
"963","Howell Heflin","an American politician who served in the US Senate, representing Alabama, from 1979-1997","U.S. Politician"
"964","Howie Long","American former National Football League (NFL) defensive end, actor and sports analyst","Athlete / News Entertainer"
"965","Howie Mandel","Canadian comedian, actor, television host, and voice actor","Acting Entertainer"
"966","Hozier","Irish musician, singer, songwriter","Musical Entertainer"
"967","Hu Jintao","Chinese politician who was the paramount leader of China from 2002 to 2012","Non-U.S. Politician"
"968","Hu Na","former professional tennis player, best known for defecting from the People's Republic of China to the U.S. in 1982, thereby sparking a Cold War-era diplomatic incident","Athlete"
"969","Hugh Downs","long-time American broadcaster, television host, news anchor, TV producer, author, game show host, and music composer","Acting Entertainer"
"970","Hugh Grant","English actor and film producer","Acting Entertainer"
"971","Hugh Hefner","American men's lifestyle magazine publisher, businessman, and a well-known playboy","Writer"
"972","Hugh Jackman","Australian actor, singer and producer","Musical / Acting Entertainer"
"973","Hugh Rodham","American lawyer and former politician, brother of Hillary Rodham Clinton","U.S. Political Family"
"974","Hugo Chavez","Venezuelan politician who served as the 64th President of Venezuela from 1999 to 2013","Non-U.S. Politician"
"975","Hulk Hogan","American semi-retired professional wrestler, actor, television personality, entrepreneur and rock bassist","Athlete"
"976","Huma Abedin","American political staffer who was vice chair of Hillary Clinton's 2016 campaign for President of the United States","U.S. Politician"
"977","Iain Glen","Scottish film, television, and stage actor","Acting Entertainer"
"978","Ian McKellen","English actor","Acting Entertainer"
"979","Ian Smith","politician, farmer and fighter pilot who served as Prime Minister of Rhodesia (or Southern Rhodesia) from 1964 to 1979","Non-U.S. Politician"
"980","Iann Robinson","writer, musician, TV personality, best known as a former MTV News on-air correspondent","News Entertainer"
"981","Ice Cube","American rapper, songwriter, record producer, actor and filmmaker","Musical / Acting Entertainer"
"982","Ice-T","American rapper and actor","Musical / Acting Entertainer"
"983","Idi Amin","third president of Uganda, ruling from 1971 to 1979","Non-U.S. Politician"
"984","Idris Elba","English actor, musician, and DJ","Musical / Acting Entertainer"
"985","Iggy Azalea","Australian rapper, singer, songwriter, model and director","Musical Entertainer"
"986","Ike Turner","American musician, bandleader, songwriter, arranger, talent scout, and record producer","Musical Entertainer"
"987","Imelda Marcos","widow of the Filipino dictator Ferdinand Marcos, the 10th president of the Philippines","other"
"988","Indira Gandhi","Indian politician and central figure of the Indian National Congress party, and to date the only female Prime Minister of India","Non-U.S. Politician"
"989","Irene Cara","American singer, songwriter, and actress","Musical / Acting Entertainer"
"990","Irlene Mandrell","musician, actress, model","Musical / Acting Entertainer"
"991","Isadora Duncan","American dancer who performed to acclaim throughout Europe","Musical Entertainer"
"992","Issac Asimov","American writer and professor of biochemistry at Boston University","Scientist"
"993","Issac Mizrahi","American fashion designer, TV presenter, and creative director of Xcel Brands","Fashion Industry"
"994","Ivan Boesky","former American stock trader who is notable for his prominent role in a Wall Street insider trading scandal that occurred in the United States in the mid-1980s","other"
"995","Ivana Trump","Czech-born American businesswoman, author, socialite, and former fashion model, first wife of Donald Trump","U.S. Political Family"
"996","Ivanka Trump","American businesswoman, former reality TV personality, socialite, author and fashion model, daughter of Donald Trump","U.S. Political Family"
"997","J. Edgar Hoover","first Director of the Federal Bureau of Investigation (FBI) of the United States","Law Professional"
"998","J. Gregory Garrison","lawyer, best known as prosecutor in Mike Tyson trials","Law Professional"
"999","J.C. Chasez","American singer, songwriter, dancer, record producer, and occasional actor","Musical / Acting Entertainer"
